GEO.id,GEO.id2,GEO.display-label,mapchart-county,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,HD01_VD20,HD01_VD21,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD26,HD01_VD27,HD01_VD28,HD01_VD29,HD01_VD30,HD01_VD31,HD01_VD32,HD01_VD33,HD01_VD34,HD01_VD35,HD01_VD36,HD01_VD37,HD01_VD38,HD01_VD39
0500000US01001,1001,"Autauga County, Alabama",,9176,4674,1353,471,108,264,86,424,2348,891,81,621,135,620,973,315,40,268,128,222,4502,1673,456,289,335,129,464,2235,543,165,718,499,310,594,21,138,58,225,152
0500000US01003,1003,"Baldwin County, Alabama",,43968,20447,4263,1308,145,1117,569,1124,9502,3574,659,2678,589,2002,6682,3126,436,1747,649,724,23521,6399,1184,1287,1236,1293,1399,11933,1777,1932,2500,3166,2558,5189,1056,501,567,2088,977
0500000US01005,1005,"Barbour County, Alabama",,2218,1141,225,81,16,8,62,58,578,171,32,139,145,91,338,126,12,76,43,81,1077,274,21,75,36,96,46,593,80,49,127,227,110,210,28,13,9,128,32
0500000US01007,1007,"Bibb County, Alabama",,2097,925,294,79,3,63,40,109,519,170,4,212,28,105,112,50,11,34,17,0,1172,368,56,49,69,151,43,648,78,68,100,229,173,156,40,9,6,98,3
0500000US01009,1009,"Blount County, Alabama",,5172,2147,438,219,33,41,15,130,1089,280,130,299,152,228,620,194,64,165,109,88,3025,994,211,147,132,202,302,1380,211,331,254,400,184,651,70,164,18,268,131
0500000US01011,1011,"Bullock County, Alabama",,990,485,131,4,0,60,0,67,176,0,24,93,20,39,178,50,16,23,0,89,505,153,35,47,6,14,51,221,31,24,66,35,65,131,10,0,0,112,9
0500000US01013,1013,"Butler County, Alabama",,2253,936,241,118,26,41,30,26,384,121,29,95,66,73,311,102,13,95,44,57,1317,447,65,144,116,58,64,518,66,51,166,99,136,352,0,51,52,217,32
0500000US01015,1015,"Calhoun County, Alabama",,14113,6257,1490,397,71,288,119,615,2951,968,245,666,346,726,1816,523,127,518,154,494,7856,2521,553,319,337,683,629,3885,718,582,638,1206,741,1450,160,140,105,734,311
0500000US01017,1017,"Chambers County, Alabama",,3158,1584,522,259,57,113,18,75,622,224,1,188,95,114,440,137,56,54,105,88,1574,460,75,32,96,140,117,747,146,112,223,218,48,367,16,0,38,178,135
0500000US01019,1019,"Cherokee County, Alabama",,2344,1049,262,111,24,25,49,53,466,199,63,99,37,68,321,118,25,80,40,58,1295,352,4,168,20,126,34,734,35,113,177,319,90,209,16,18,26,117,32
0500000US01021,1021,"Chilton County, Alabama",,4484,1907,362,120,75,60,32,75,935,287,40,298,128,182,610,172,4,213,58,163,2577,932,182,164,236,125,225,1200,151,123,243,468,215,445,21,55,110,196,63
0500000US01023,1023,"Choctaw County, Alabama",,1100,451,150,62,2,26,22,38,210,93,2,27,61,27,91,37,4,35,2,13,649,143,27,28,7,20,61,348,33,61,56,101,97,158,8,39,10,89,12
0500000US01025,1025,"Clarke County, Alabama",,2193,804,95,19,0,39,5,32,422,139,49,75,73,86,287,117,47,48,21,54,1389,340,34,6,82,163,55,706,36,59,121,349,141,343,18,36,16,212,61
0500000US01027,1027,"Clay County, Alabama",,970,370,13,0,12,0,0,1,249,38,17,28,76,90,108,56,22,10,12,8,600,103,0,0,45,58,0,319,44,5,58,181,31,178,20,37,31,38,52
0500000US01029,1029,"Cleburne County, Alabama",,1283,485,134,45,0,25,8,56,259,86,20,66,69,18,92,18,15,23,21,15,798,276,41,85,21,95,34,364,37,45,58,165,59,158,0,46,0,109,3
0500000US01031,1031,"Coffee County, Alabama",,7877,3823,869,318,3,203,123,222,1996,547,157,495,153,644,958,220,77,237,156,268,4054,1285,268,161,216,293,347,2051,366,237,492,636,320,718,138,35,54,397,94
0500000US01033,1033,"Colbert County, Alabama",,7207,3015,540,139,0,194,48,159,1530,590,61,508,227,144,945,326,46,161,222,190,4192,1083,185,245,112,294,247,2281,264,518,519,733,247,828,119,40,40,542,87
0500000US01035,1035,"Conecuh County, Alabama",,768,332,117,8,26,32,0,51,150,30,30,29,24,37,65,30,0,24,0,11,436,157,17,16,40,67,17,184,3,14,75,89,3,95,27,0,0,52,16
0500000US01037,1037,"Coosa County, Alabama",,892,321,46,14,5,16,0,11,130,39,8,24,17,42,145,82,0,24,19,20,571,101,34,0,16,5,46,343,58,35,92,123,35,127,4,37,4,68,14
0500000US01039,1039,"Covington County, Alabama",,4099,1900,419,213,19,65,60,62,823,319,71,205,70,158,658,273,48,160,128,49,2199,611,134,110,101,176,90,1108,152,173,264,391,128,480,68,83,48,217,64
0500000US01041,1041,"Crenshaw County, Alabama",,1562,542,114,38,0,52,5,19,251,95,12,63,48,33,177,42,2,62,13,58,1020,328,39,43,111,57,78,497,83,89,99,172,54,195,19,13,7,105,51
0500000US01043,1043,"Cullman County, Alabama",,8457,4123,1171,508,92,276,28,267,1853,755,304,357,176,261,1099,378,103,199,117,302,4334,1195,324,289,143,284,155,2276,253,381,452,852,338,863,55,152,83,432,141
0500000US01045,1045,"Dale County, Alabama",,5587,2834,970,424,98,108,90,250,1266,532,56,248,158,272,598,175,27,211,71,114,2753,989,246,104,246,160,233,1289,265,122,318,299,285,475,124,51,106,165,29
0500000US01047,1047,"Dallas County, Alabama",,3809,1615,298,37,28,104,58,71,703,266,36,248,41,112,614,177,27,123,197,90,2194,384,42,26,203,56,57,1282,256,191,277,346,212,528,128,29,13,241,117
0500000US01049,1049,"DeKalb County, Alabama",,6202,2735,770,260,40,55,251,164,1365,378,119,304,378,186,600,210,46,203,67,74,3467,1019,154,186,122,387,170,1778,300,241,372,658,207,670,124,37,81,351,77
0500000US01051,1051,"Elmore County, Alabama",,12629,5523,1117,402,57,299,88,271,2942,1008,121,959,158,696,1464,496,36,458,215,259,7106,2092,433,422,511,392,334,3863,778,607,1000,765,713,1151,151,122,179,446,253
0500000US01053,1053,"Escambia County, Alabama",,3146,1446,342,111,51,77,31,72,715,166,50,214,91,194,389,65,30,97,67,130,1700,410,76,57,91,121,65,795,88,78,149,312,168,495,13,27,10,390,55
0500000US01055,1055,"Etowah County, Alabama",,12119,5558,1302,404,154,201,220,323,2670,781,326,796,302,465,1586,509,81,608,209,179,6561,1863,334,430,275,423,401,3424,477,697,534,1126,590,1274,239,140,65,618,212
0500000US01057,1057,"Fayette County, Alabama",,1712,745,152,42,11,47,19,33,390,106,31,185,37,31,203,66,16,52,48,21,967,285,73,47,45,68,52,500,0,64,67,300,69,182,48,24,15,53,42
0500000US01059,1059,"Franklin County, Alabama",,2778,1203,373,224,0,50,38,61,581,153,22,157,98,151,249,33,0,115,61,40,1575,539,157,91,50,128,113,706,84,112,84,297,129,330,20,30,23,217,40
0500000US01061,1061,"Geneva County, Alabama",,2076,967,114,32,0,48,11,23,517,174,68,124,64,87,336,93,37,122,16,68,1109,311,81,52,27,120,31,540,116,86,136,162,40,258,17,78,16,69,78
0500000US01063,1063,"Greene County, Alabama",,663,149,11,11,0,0,0,0,109,39,0,45,25,0,29,10,0,0,11,8,514,141,20,86,29,0,6,258,53,48,56,66,35,115,0,0,37,76,2
0500000US01065,1065,"Hale County, Alabama",,1464,615,134,27,15,36,56,0,245,95,21,58,30,41,236,84,31,53,47,21,849,368,31,29,20,157,131,295,34,32,69,128,32,186,29,12,4,116,25
0500000US01067,1067,"Henry County, Alabama",,2074,817,124,51,23,49,0,1,368,209,29,45,46,39,325,73,5,135,67,45,1257,293,13,16,75,86,103,700,138,139,81,338,4,264,83,24,0,148,9
0500000US01069,1069,"Houston County, Alabama",,14903,6880,1634,705,111,420,80,318,3549,1293,343,1045,215,653,1697,526,145,455,262,309,8023,2649,702,427,500,550,470,3988,771,582,880,1155,600,1386,165,174,108,654,285
0500000US01071,1071,"Jackson County, Alabama",,4956,2030,356,100,0,55,136,65,1123,545,56,270,128,124,551,235,12,146,99,59,2926,743,161,128,157,174,123,1619,299,261,309,562,188,564,88,126,34,298,18
0500000US01073,1073,"Jefferson County, Alabama",,142679,65379,22220,8157,929,6925,1012,5197,30476,11177,1571,9997,1711,6020,12683,4757,725,3680,1255,2266,77300,28899,7864,4126,6328,3250,7331,36735,6878,6075,8626,7069,8087,11666,1935,1247,1037,4564,2883
0500000US01075,1075,"Lamar County, Alabama",,1317,580,134,50,4,48,16,16,207,108,0,48,34,17,239,164,0,63,0,12,737,170,4,21,56,46,43,387,40,31,63,209,44,180,32,33,2,108,5
0500000US01077,1077,"Lauderdale County, Alabama",,14230,6801,1595,536,84,419,171,385,3247,1367,137,706,290,747,1959,902,95,460,290,212,7429,2069,434,167,357,690,421,4057,687,616,678,988,1088,1303,215,223,104,571,190
0500000US01079,1079,"Lawrence County, Alabama",,2380,1049,321,181,4,30,60,46,507,247,0,122,59,79,221,55,25,78,55,8,1331,472,115,124,65,155,13,640,85,81,157,276,41,219,31,54,7,90,37
0500000US01081,1081,"Lee County, Alabama",,32222,15628,5648,2773,313,1137,298,1127,7074,2784,627,1769,542,1352,2906,1276,210,604,311,505,16594,6157,1745,691,1051,1120,1550,8128,1800,1132,1421,2126,1649,2309,287,392,187,975,468
0500000US01083,1083,"Limestone County, Alabama",,15494,7833,2025,948,142,555,138,242,4167,1935,161,1047,355,669,1641,681,53,417,281,209,7661,2224,631,336,501,375,381,4431,816,504,1167,1088,856,1006,143,47,189,485,142
0500000US01085,1085,"Lowndes County, Alabama",,971,398,106,81,0,7,3,15,159,43,5,37,25,49,133,72,0,49,1,11,573,172,56,11,26,72,7,300,88,41,60,88,23,101,23,2,0,62,14
0500000US01087,1087,"Macon County, Alabama",,2466,942,206,65,29,15,10,87,392,147,20,142,38,45,344,138,25,67,43,71,1524,304,157,32,28,32,55,667,164,98,152,165,88,553,90,70,40,279,74
0500000US01089,1089,"Madison County, Alabama",,97322,50364,13013,7219,766,2973,261,1794,26928,14904,1123,6275,1043,3583,10423,6080,471,1860,595,1417,46958,14374,4042,1679,3206,1529,3918,25781,7802,2841,6689,4051,4398,6803,1429,713,1147,2209,1305
0500000US01091,1091,"Marengo County, Alabama",,2089,906,171,78,30,63,0,0,570,257,41,175,29,68,165,73,8,32,33,19,1183,278,40,43,45,93,57,646,134,31,108,262,111,259,18,48,31,132,30
0500000US01093,1093,"Marion County, Alabama",,2878,1421,354,133,1,61,55,104,718,113,44,338,95,128,349,195,34,35,70,15,1457,451,34,67,149,90,111,696,54,77,66,395,104,310,31,42,0,171,66
