Id,Id2,Geography,Total,hasacomputer,dialupinternet,broadbandinternet,withoutaninternet,nocomputer
0500000US01001,1001,"Autauga County, Alabama",21054,18145,70,16055,2020,2909
0500000US01003,1003,"Baldwin County, Alabama",76133,66174,604,56510,9060,9959
0500000US01005,1005,"Barbour County, Alabama",9191,6747,132,5187,1428,2444
0500000US01007,1007,"Bibb County, Alabama",6916,5176,21,4270,885,1740
0500000US01009,1009,"Blount County, Alabama",20690,16175,275,13499,2401,4515
0500000US01011,1011,"Bullock County, Alabama",3670,2357,22,1760,575,1313
0500000US01013,1013,"Butler County, Alabama",7050,4818,100,4002,716,2232
0500000US01015,1015,"Calhoun County, Alabama",45099,37406,247,31619,5540,7693
0500000US01017,1017,"Chambers County, Alabama",13694,9951,88,8460,1403,3743
0500000US01019,1019,"Cherokee County, Alabama",10795,8576,43,7244,1289,2219
0500000US01021,1021,"Chilton County, Alabama",16768,12374,171,9434,2769,4394
0500000US01023,1023,"Choctaw County, Alabama",5463,3847,58,2845,944,1616
0500000US01025,1025,"Clarke County, Alabama",9602,5635,93,4453,1089,3967
0500000US01027,1027,"Clay County, Alabama",5338,4113,16,3490,607,1225
0500000US01029,1029,"Cleburne County, Alabama",5773,4264,61,3315,888,1509
0500000US01031,1031,"Coffee County, Alabama",19620,16494,124,14504,1866,3126
0500000US01033,1033,"Colbert County, Alabama",21983,17657,172,14363,3122,4326
0500000US01035,1035,"Conecuh County, Alabama",4716,2430,27,1920,483,2286
0500000US01037,1037,"Coosa County, Alabama",4204,2940,32,2396,512,1264
0500000US01039,1039,"Covington County, Alabama",15285,11329,129,9810,1390,3956
0500000US01041,1041,"Crenshaw County, Alabama",5358,3778,26,3017,735,1580
0500000US01043,1043,"Cullman County, Alabama",31097,24529,378,20077,4074,6568
0500000US01045,1045,"Dale County, Alabama",18825,15298,154,12956,2188,3527
0500000US01047,1047,"Dallas County, Alabama",16487,11401,129,9315,1957,5086
0500000US01049,1049,"DeKalb County, Alabama",25482,19196,187,15403,3606,6286
0500000US01051,1051,"Elmore County, Alabama",29115,25237,129,22479,2629,3878
0500000US01053,1053,"Escambia County, Alabama",13226,8386,123,7170,1093,4840
0500000US01055,1055,"Etowah County, Alabama",39061,31505,237,26357,4911,7556
0500000US01057,1057,"Fayette County, Alabama",6955,5130,15,4405,710,1825
0500000US01059,1059,"Franklin County, Alabama",11533,8563,123,6865,1575,2970
0500000US01061,1061,"Geneva County, Alabama",10693,8443,202,6806,1435,2250
0500000US01063,1063,"Greene County, Alabama",3025,1688,41,1238,409,1337
0500000US01065,1065,"Hale County, Alabama",5664,3644,26,2812,806,2020
0500000US01067,1067,"Henry County, Alabama",6727,5238,92,4484,662,1489
0500000US01069,1069,"Houston County, Alabama",39560,30928,656,26473,3799,8632
0500000US01071,1071,"Jackson County, Alabama",20368,15281,139,12601,2541,5087
0500000US01073,1073,"Jefferson County, Alabama",261390,220690,924,188849,30917,40700
0500000US01075,1075,"Lamar County, Alabama",6019,4409,65,3473,871,1610
0500000US01077,1077,"Lauderdale County, Alabama",38634,30443,364,24938,5141,8191
0500000US01079,1079,"Lawrence County, Alabama",13056,9736,231,7160,2345,3320
0500000US01081,1081,"Lee County, Alabama",59001,52091,190,45831,6070,6910
0500000US01083,1083,"Limestone County, Alabama",32386,26830,214,23323,3293,5556
0500000US01085,1085,"Lowndes County, Alabama",4309,2764,65,1960,739,1545
0500000US01087,1087,"Macon County, Alabama",7852,5537,69,4013,1455,2315
0500000US01089,1089,"Madison County, Alabama",142253,127315,598,115107,11610,14938
0500000US01091,1091,"Marengo County, Alabama",7975,5335,124,3968,1243,2640
0500000US01093,1093,"Marion County, Alabama",12453,9493,47,8057,1389,2960
0500000US01095,1095,"Marshall County, Alabama",34588,27612,155,24029,3428,6976
0500000US01097,1097,"Mobile County, Alabama",153794,123108,699,105466,16943,30686
0500000US01099,1099,"Monroe County, Alabama",8207,4084,25,3148,911,4123
0500000US01101,1101,"Montgomery County, Alabama",89776,75737,258,67042,8437,14039
0500000US01103,1103,"Morgan County, Alabama",45904,37992,498,31925,5569,7912
0500000US01105,1105,"Perry County, Alabama",3039,1655,38,1177,440,1384
0500000US01107,1107,"Pickens County, Alabama",7620,5407,64,4535,808,2213
0500000US01109,1109,"Pike County, Alabama",12284,8805,248,7363,1194,3479
0500000US01111,1111,"Randolph County, Alabama",8867,6811,173,5693,945,2056
0500000US01113,1113,"Russell County, Alabama",22690,18197,209,14197,3791,4493
0500000US01115,1115,"St. Clair County, Alabama",32486,27537,298,23339,3900,4949
0500000US01117,1117,"Shelby County, Alabama",76868,71009,279,64638,6092,5859
0500000US01119,1119,"Sumter County, Alabama",5073,3285,62,2516,707,1788
0500000US01121,1121,"Talladega County, Alabama",31651,24854,254,20511,4089,6797
0500000US01123,1123,"Tallapoosa County, Alabama",16369,12653,62,11019,1572,3716
0500000US01125,1125,"Tuscaloosa County, Alabama",71507,60229,163,53612,6454,11278
0500000US01127,1127,"Walker County, Alabama",25143,19370,244,15579,3547,5773
0500000US01129,1129,"Washington County, Alabama",6001,4462,38,3206,1218,1539
0500000US01131,1131,"Wilcox County, Alabama",3841,2319,151,1594,574,1522
0500000US01133,1133,"Winston County, Alabama",9439,6846,119,5214,1513,2593
0500000US02013,2013,"Aleutians East Borough, Alaska",812,693,0,551,142,119
0500000US02016,2016,"Aleutians West Census Area, Alaska",1218,1118,2,900,216,100
0500000US02020,2020,"Anchorage Municipality, Alaska",106012,100312,413,92255,7644,5700
0500000US02050,2050,"Bethel Census Area, Alaska",4524,3708,1,3165,542,816
0500000US02060,2060,"Bristol Bay Borough, Alaska",358,327,7,291,29,31
0500000US02068,2068,"Denali Borough, Alaska",678,644,0,603,41,34
0500000US02070,2070,"Dillingham Census Area, Alaska",1405,1146,2,1008,136,259
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",36396,34149,231,29744,4174,2247
0500000US02100,2100,"Haines Borough, Alaska",1087,1016,19,839,158,71
0500000US02105,2105,"Hoonah-Angoon Census Area, Alaska",802,670,2,578,90,132
0500000US02110,2110,"Juneau City and Borough, Alaska",12273,11600,76,10713,811,673
0500000US02122,2122,"Kenai Peninsula Borough, Alaska",21779,19472,337,16367,2768,2307
0500000US02130,2130,"Ketchikan Gateway Borough, Alaska",5270,4807,26,4255,526,463
0500000US02150,2150,"Kodiak Island Borough, Alaska",4538,4084,5,3727,352,454
0500000US02158,2158,"Kusilvak Census Area, Alaska",1752,1340,0,1011,329,412
0500000US02164,2164,"Lake and Peninsula Borough, Alaska",408,338,1,245,92,70
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",30613,28582,190,26020,2372,2031
0500000US02180,2180,"Nome Census Area, Alaska",2897,2477,2,1948,527,420
0500000US02185,2185,"North Slope Borough, Alaska",2041,1723,10,1382,331,318
0500000US02188,2188,"Northwest Arctic Borough, Alaska",1849,1478,0,1223,255,371
0500000US02195,2195,"Petersburg Borough, Alaska",1255,1131,4,953,174,124
0500000US02198,2198,"Prince of Wales-Hyder Census Area, Alaska",2315,1993,5,1570,418,322
0500000US02220,2220,"Sitka City and Borough, Alaska",3545,3265,17,2844,404,280
0500000US02230,2230,"Skagway Municipality, Alaska",423,407,1,352,54,16
0500000US02240,2240,"Southeast Fairbanks Census Area, Alaska",2139,1897,11,1603,283,242
0500000US02261,2261,"Valdez-Cordova Census Area, Alaska",2849,2630,48,2267,315,219
0500000US02275,2275,"Wrangell City and Borough, Alaska",1084,916,10,807,99,168
0500000US02282,2282,"Yakutat City and Borough, Alaska",255,227,3,177,47,28
0500000US02290,2290,"Yukon-Koyukuk Census Area, Alaska",1959,1275,4,852,419,684
0500000US04001,4001,"Apache County, Arizona",19530,10703,183,7374,3146,8827
0500000US04003,4003,"Cochise County, Arizona",49160,41975,262,37198,4515,7185
0500000US04005,4005,"Coconino County, Arizona",47588,41660,245,35580,5835,5928
0500000US04007,4007,"Gila County, Arizona",21585,17067,155,13042,3870,4518
0500000US04009,4009,"Graham County, Arizona",10976,9213,31,7615,1567,1763
0500000US04011,4011,"Greenlee County, Arizona",3364,2968,0,2544,424,396
0500000US04012,4012,"La Paz County, Arizona",8798,6483,93,5074,1316,2315
0500000US04013,4013,"Maricopa County, Arizona",1489533,1338280,6375,1210358,121547,151253
0500000US04015,4015,"Mohave County, Arizona",83902,71132,751,63345,7036,12770
0500000US04017,4017,"Navajo County, Arizona",34251,25125,245,20098,4782,9126
0500000US04019,4019,"Pima County, Arizona",398530,356500,2359,319303,34838,42030
0500000US04021,4021,"Pinal County, Arizona",133513,115418,713,102296,12409,18095
0500000US04023,4023,"Santa Cruz County, Arizona",15568,12416,125,10444,1847,3152
0500000US04025,4025,"Yavapai County, Arizona",94343,83353,729,73367,9257,10990
0500000US04027,4027,"Yuma County, Arizona",71670,58026,569,52026,5431,13644
0500000US05001,5001,"Arkansas County, Arkansas",7692,6093,45,4577,1471,1599
0500000US05003,5003,"Ashley County, Arkansas",8182,6180,50,4795,1335,2002
0500000US05005,5005,"Baxter County, Arkansas",18398,14957,300,12556,2101,3441
0500000US05007,5007,"Benton County, Arkansas",90906,82043,336,53920,27787,8863
0500000US05009,5009,"Boone County, Arkansas",14887,12239,134,10914,1191,2648
0500000US05011,5011,"Bradley County, Arkansas",4566,3306,21,2504,781,1260
0500000US05013,5013,"Calhoun County, Arkansas",2061,1510,51,1081,378,551
0500000US05015,5015,"Carroll County, Arkansas",10832,8713,191,6711,1811,2119
0500000US05017,5017,"Chicot County, Arkansas",4323,3070,40,2398,632,1253
0500000US05019,5019,"Clark County, Arkansas",8820,6752,35,5413,1304,2068
0500000US05021,5021,"Clay County, Arkansas",6428,4709,22,3768,919,1719
0500000US05023,5023,"Cleburne County, Arkansas",10646,8441,86,7070,1285,2205
